date,mean_temperature,daylength,site,PAR_incident
1999_08_01,23,14.86333333,LUSIGNAN,100
1999_08_02,22,14.82083333,LUSIGNAN,100
1999_08_03,21,14.77777778,LUSIGNAN,100
1999_08_04,22,14.73416667,LUSIGNAN,100
1999_08_05,22,14.69,LUSIGNAN,100
1999_08_06,22,14.64527778,LUSIGNAN,100
1999_08_07,22,14.60027778,LUSIGNAN,100
1999_08_08,20,14.55444444,LUSIGNAN,100
1999_08_09,18,14.50833333,LUSIGNAN,100
1999_08_10,20,14.46166667,LUSIGNAN,100
1999_08_11,18,14.41444444,LUSIGNAN,100
1999_08_12,20,14.36722222,LUSIGNAN,100
1999_08_13,19,14.31944444,LUSIGNAN,100
1999_08_14,18,14.27111111,LUSIGNAN,100
1999_08_15,17,14.2225,LUSIGNAN,100
1999_08_16,17,14.17361111,LUSIGNAN,100
1999_08_17,18,14.12444444,LUSIGNAN,100
1999_08_18,19,14.07472222,LUSIGNAN,100
1999_08_19,17,14.02472222,LUSIGNAN,100
1999_08_20,16,13.97472222,LUSIGNAN,100
1999_08_21,19,13.92416667,LUSIGNAN,100
1999_08_22,20,13.87333333,LUSIGNAN,100
1999_08_23,21,13.8225,LUSIGNAN,100
1999_08_24,23,13.77138889,LUSIGNAN,100
1999_08_25,24,13.71972222,LUSIGNAN,100
1999_08_26,22,13.66805556,LUSIGNAN,100
1999_08_27,20,13.61638889,LUSIGNAN,100
1999_08_28,20,13.56416667,LUSIGNAN,100
1999_08_29,20,13.51166667,LUSIGNAN,100
1999_08_30,21,13.45944444,LUSIGNAN,100
1999_08_31,21,13.40694444,LUSIGNAN,100
1999_09_01,21,13.35416667,LUSIGNAN,100
1999_09_02,22,13.30138889,LUSIGNAN,100
1999_09_03,20,13.24805556,LUSIGNAN,100
1999_09_04,19,13.19472222,LUSIGNAN,100
1999_09_05,20,13.14166667,LUSIGNAN,100
1999_09_06,22,13.08805556,LUSIGNAN,100
1999_09_07,19,13.03444444,LUSIGNAN,100
1999_09_08,20,12.98083333,LUSIGNAN,100
1999_09_09,21,12.92694444,LUSIGNAN,100
1999_09_10,22,12.87333333,LUSIGNAN,100
1999_09_11,23,12.81916667,LUSIGNAN,100
1999_09_12,20,12.765,LUSIGNAN,100
1999_09_13,15,12.71111111,LUSIGNAN,100
1999_09_14,17,12.65666667,LUSIGNAN,100
1999_09_15,15,12.6025,LUSIGNAN,100
1999_09_16,15,12.54805556,LUSIGNAN,100
1999_09_17,17,12.49388889,LUSIGNAN,100
1999_09_18,16,12.43944444,LUSIGNAN,100
1999_09_19,17,12.38527778,LUSIGNAN,100
1999_09_20,14,12.33083333,LUSIGNAN,100
1999_09_21,15,12.27611111,LUSIGNAN,100
1999_09_22,20,12.22166667,LUSIGNAN,100
1999_09_23,19,12.16722222,LUSIGNAN,100
1999_09_24,18,12.11277778,LUSIGNAN,100
1999_09_25,17,12.05833333,LUSIGNAN,100
1999_09_26,16,12.00361111,LUSIGNAN,100
1999_09_27,16,11.94916667,LUSIGNAN,100
1999_09_28,16,11.89472222,LUSIGNAN,100
1999_09_29,17,11.84027778,LUSIGNAN,100
1999_09_30,17,11.78555556,LUSIGNAN,100
1999_10_01,15,11.73138889,LUSIGNAN,100
1999_10_02,14,11.67694444,LUSIGNAN,100
1999_10_03,13,11.6225,LUSIGNAN,100
1999_10_04,11,11.56833333,LUSIGNAN,100
1999_10_05,9,11.51388889,LUSIGNAN,100
1999_10_06,9,11.45972222,LUSIGNAN,100
1999_10_07,10,11.40555556,LUSIGNAN,100
1999_10_08,10,11.35166667,LUSIGNAN,100
1999_10_09,14,11.2975,LUSIGNAN,100
1999_10_10,15,11.24361111,LUSIGNAN,100
1999_10_11,16,11.18972222,LUSIGNAN,100
1999_10_12,15,11.13583333,LUSIGNAN,100
1999_10_13,14,11.08222222,LUSIGNAN,100
1999_10_14,16,11.02888889,LUSIGNAN,100
1999_10_15,16,10.97527778,LUSIGNAN,100
1999_10_16,13,10.92222222,LUSIGNAN,100
1999_10_17,11,10.86944444,LUSIGNAN,100
1999_10_18,10,10.81611111,LUSIGNAN,100
1999_10_19,8,10.76361111,LUSIGNAN,100
1999_10_20,13,10.71111111,LUSIGNAN,100
1999_10_21,13,10.65888889,LUSIGNAN,100
1999_10_22,14,10.60666667,LUSIGNAN,100
1999_10_23,14,10.55472222,LUSIGNAN,100
1999_10_24,14,10.50305556,LUSIGNAN,100
1999_10_25,13,10.45166667,LUSIGNAN,100
1999_10_26,15,10.40055556,LUSIGNAN,100
1999_10_27,13,10.34972222,LUSIGNAN,100
1999_10_28,16,10.29916667,LUSIGNAN,100
1999_10_29,16,10.24888889,LUSIGNAN,100
1999_10_30,17,10.19888889,LUSIGNAN,100
1999_10_31,13,10.14916667,LUSIGNAN,100
1999_11_01,14,10.1,LUSIGNAN,100
1999_11_02,12,10.05111111,LUSIGNAN,100
1999_11_03,9,10.0025,LUSIGNAN,100
1999_11_04,6,9.954444444,LUSIGNAN,100
1999_11_05,8,9.906666667,LUSIGNAN,100
1999_11_06,9,9.859722222,LUSIGNAN,100
1999_11_07,8,9.8125,LUSIGNAN,100
1999_11_08,8,9.766388889,LUSIGNAN,100
1999_11_09,11,9.720555556,LUSIGNAN,100
1999_11_10,8,9.675277778,LUSIGNAN,100
1999_11_11,6,9.630555556,LUSIGNAN,100
1999_11_12,6,9.586666667,LUSIGNAN,100
1999_11_13,7,9.543055556,LUSIGNAN,100
1999_11_14,4,9.500277778,LUSIGNAN,100
1999_11_15,6,9.458333333,LUSIGNAN,100
1999_11_16,2,9.416666667,LUSIGNAN,100
1999_11_17,4,9.375833333,LUSIGNAN,100
1999_11_18,7,9.335833333,LUSIGNAN,100
1999_11_19,4,9.296388889,LUSIGNAN,100
1999_11_20,1,9.258055556,LUSIGNAN,100
1999_11_21,1,9.220555556,LUSIGNAN,100
1999_11_22,0,9.183611111,LUSIGNAN,100
1999_11_23,4,9.147777778,LUSIGNAN,100
1999_11_24,7,9.112777778,LUSIGNAN,100
1999_11_25,6,9.078333333,LUSIGNAN,100
1999_11_26,4,9.045277778,LUSIGNAN,100
1999_11_27,8,9.013333333,LUSIGNAN,100
1999_11_28,8,8.981944444,LUSIGNAN,100
1999_11_29,11,8.951666667,LUSIGNAN,100
1999_11_30,7,8.922777778,LUSIGNAN,100
1999_12_01,6,8.894444444,LUSIGNAN,100
1999_12_02,10,8.867777778,LUSIGNAN,100
1999_12_03,9,8.841944444,LUSIGNAN,100
1999_12_04,8,8.817222222,LUSIGNAN,100
1999_12_05,6,8.793888889,LUSIGNAN,100
1999_12_06,4,8.771944444,LUSIGNAN,100
1999_12_07,4,8.750833333,LUSIGNAN,100
1999_12_08,9,8.731111111,LUSIGNAN,100
1999_12_09,9,8.712777778,LUSIGNAN,100
1999_12_10,7,8.695555556,LUSIGNAN,100
1999_12_11,10,8.68,LUSIGNAN,100
1999_12_12,9,8.665277778,LUSIGNAN,100
1999_12_13,7,8.652222222,LUSIGNAN,100
1999_12_14,6,8.640277778,LUSIGNAN,100
1999_12_15,2,8.63,LUSIGNAN,100
1999_12_16,2,8.621111111,LUSIGNAN,100
1999_12_17,5,8.613333333,LUSIGNAN,100
1999_12_18,9,8.6075,LUSIGNAN,100
1999_12_19,7,8.6025,LUSIGNAN,100
1999_12_20,-1,8.599166667,LUSIGNAN,100
1999_12_21,1,8.597222222,LUSIGNAN,100
1999_12_22,4,8.596666667,LUSIGNAN,100
1999_12_23,7,8.597777778,LUSIGNAN,100
1999_12_24,9,8.600277778,LUSIGNAN,100
1999_12_25,10,8.604166667,LUSIGNAN,100
1999_12_26,11,8.609444444,LUSIGNAN,100
1999_12_27,9,8.616111111,LUSIGNAN,100
1999_12_28,5,8.624166667,LUSIGNAN,100
1999_12_29,3,8.633611111,LUSIGNAN,100
1999_12_30,3,8.644444444,LUSIGNAN,100
1999_12_31,6,8.656944444,LUSIGNAN,100
2000_01_01,8,8.670833333,LUSIGNAN,100
2000_01_02,9,8.685555556,LUSIGNAN,100
2000_01_03,8,8.701944444,LUSIGNAN,100
2000_01_04,8,8.719722222,LUSIGNAN,100
2000_01_05,8,8.738611111,LUSIGNAN,100
2000_01_06,8,8.758888889,LUSIGNAN,100
2000_01_07,6,8.780555556,LUSIGNAN,100
2000_01_08,8,8.803333333,LUSIGNAN,100
2000_01_09,6,8.827222222,LUSIGNAN,100
